YDR418W	RPL12B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR418W	RPL12B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDR447C	RPS17B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR447C	RPS17B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YDR450W	RPS18A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR450W	RPS18A	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YDR462W	MRPL28	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR462W	MRPL28	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YDR471W	RPL27B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR471W	RPL27B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDR494W	RSM28	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR494W	RSM28	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YDR496C	PUF6	Verified	GO:0015934	large ribosomal subunit	cellular_component	part of	manually curated
YDR500C	RPL37B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR500C	RPL37B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YGL030W	RPL30	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YGL030W	RPL30	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YGL031C	RPL24A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YGL031C	RPL24A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YGL068W	MNP1	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YGL068W	MNP1	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YGL076C	RPL7A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YGL076C	RPL7A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YGL099W	LSG1	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YGL103W	RPL28	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YGL103W	RPL28	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
