S000000114	YBL018C	POP8	Processing Of Precursor RNAs	ribonuclease P	Subunit of both RNase MRP and nuclear RNase P	S. cerevisiae	ORF
S000000115	YBL019W	APN2	APurinic/apyrimidinic eNdonuclease	DNA-(apurinic or apyrimidinic site) lyase APN2|ETH1	Class II abasic (AP) endonuclease involved in repair of DNA damage	S. cerevisiae	ORF
S000000116	YBL020W	RFT1	Requiring Fifty-Three	glycolipid translocation protein	Membrane protein required for translocation of Man5GlcNac2-PP-Dol	S. cerevisiae	ORF
S000000117	YBL021C	HAP3	Heme Activator Protein	""	Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex	S. cerevisiae	ORF
S000000118	YBL022C	PIM1	Proteolysis In Mitochondria	ATP-dependent Lon protease PIM1|LON1	ATP-dependent Lon protease	S. cerevisiae	ORF
S000000119	YBL023C	MCM2	MiniChromosome Maintenance	MCM DNA helicase complex subunit MCM2	Protein involved in DNA replication	S. cerevisiae	ORF
S000000120	YBL024W	NCL1	NuCLear protein	TRM4|tRNA (cytosine-C5-)-methyltransferase	S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase	S. cerevisiae	ORF
S000000121	YBL025W	RRN10	Regulation of RNA polymerase I	""	Protein involved in promoting high level transcription of rDNA	S. cerevisiae	ORF
S000000122	YBL026W	LSM2	Like SM	Sm-like protein LSM2|SMX5|SNP3	Lsm (Like Sm) protein	S. cerevisiae	ORF
S000000123	YBL027W	RPL19B	Ribosomal Protein of the Large subunit	eL19|L19B|L19e|L23B|ribosomal 60S subunit protein L19B|rpl5L|YL14	Ribosomal 60S subunit protein L19B	S. cerevisiae	ORF
S000000124	YBL028C	""	""	""	Protein of unknown function that may interact with ribosomes	S. cerevisiae	ORF
S000000125	YBL029W	""	""	""	Non-essential protein of unknown function	S. cerevisiae	ORF
S000000126	YBL030C	PET9	PETite	AAC2|ADP/ATP carrier protein PET9|ANC2|OP1	Major ADP/ATP carrier of the mitochondrial inner membrane	S. cerevisiae	ORF
S000000127	YBL031W	SHE1	Sensitivity to High Expression	""	Mitotic spindle protein	S. cerevisiae	ORF
S000000128	YBL032W	HEK2	HEterogeneous nuclear rnp K-like gene	KHD1	RNA binding protein involved in asymmetric localization of ASH1 mRNA	S. cerevisiae	ORF
S000000129	YBL033C	RIB1	RIBoflavin biosynthesis	GTP cyclohydrolase II	GTP cyclohydrolase II	S. cerevisiae	ORF
S000000130	YBL034C	STU1	Suppressor of TUbulin	""	Microtubule plus-end-tracking non-motor protein	S. cerevisiae	ORF
S000000131	YBL035C	POL12	POLymerase	DNA-directed DNA polymerase alpha subunit POL12	B subunit of DNA polymerase alpha-primase complex	S. cerevisiae	ORF
S000000132	YBL036C	""	""	""	Putative non-specific single-domain racemase	S. cerevisiae	ORF
S000000133	YBL037W	APL3	clathrin Adaptor Protein complex Large chain	""	Alpha-adaptin	S. cerevisiae	ORF
